Japan,
Lat,Lon
34.704118,134.299382
34.715273,134.250272
34.703882,134.2421
34.689154,134.249391
34.624709,134.189418
34.590273,134.137209
34.581109,134.119263
34.575554,134.099118
34.5826,134.073254
34.592491,134.059418
34.599436,134.049409
34.605827,134.033445
34.606245,133.993991
34.583327,133.932463
34.573464,133.926772
34.560127,133.9272
34.550173,133.937227
34.556654,133.950809
34.566664,133.957736
34.578882,133.970245
34.584436,133.980254
34.589427,134.004154
34.592218,134.022763
34.584718,134.042072
34.547173,134.023936
34.450818,133.936845
34.445545,133.918163
34.448327,133.899136
34.463882,133.826354
34.490273,133.769436
34.520827,133.7222
34.521664,133.703036
34.516664,133.679136
34.512773,133.668027
34.421664,133.476072
34.345545,133.342472
34.343745,133.300127
34.353882,133.313718
34.364991,133.315945
34.420554,133.267209
34.423191,133.251918
34.416382,133.240663
34.404164,133.234682
34.351491,133.216963
34.318827,133.209791
34.277491,133.190318
34.249782,133.071154
34.301109,133.065245
34.324164,133.046354
34.315545,132.901918
34.307909,132.820118
34.303045,132.809691
34.270827,132.780272
34.254718,132.768582
34.241173,132.7749
34.231654,132.764982
34.207073,132.690518
34.198182,132.654282
34.195264,132.632172
34.189427,132.570527
34.191936,132.550463
34.293191,132.500409
34.322491,132.503872
34.364582,132.408718
34.364436,132.398591
34.3593,132.370654
34.353464,132.353991
34.344154,132.336363
34.334164,132.322482
34.236382,132.224945
34.191909,132.232572
34.176382,132.237454
34.1611,132.241054
34.148882,132.239682
33.990545,132.213291
33.964909,132.197018
33.950745,132.179245
33.941473,132.129527
33.9085,132.132372
33.856991,132.153745
33.834854,132.154554
33.826382,132.143309
33.777209,132.060791
33.772491,132.050536
33.7711,132.037754
33.805827,132.068572
33.895273,132.048582
33.997491,131.836636
34.016518,131.824127
34.043327,131.7872
34.0536,131.745791
34.029718,131.604672
33.976382,131.396091
33.951664,131.334963
33.946654,131.3244
33.918473,131.258318
33.932218,131.172609
33.942491,131.1647
33.953609,131.163882
33.980273,131.148036
34.011382,131.108582
34.020827,131.092191
34.033882,131.059963
34.039582,131.0304
34.007354,130.997727
33.9886,130.990918
33.9761,130.980254
33.916664,130.916918
33.913736,130.905118
33.921664,130.893309
33.934436,130.884427
34.125264,130.886936
34.133609,130.894991
34.166382,130.923736
34.181382,130.927763
34.191373,130.924682
34.225264,130.9122
34.233882,130.9061
34.260273,130.884
34.293054,130.879672
34.4011,130.936372
34.413882,130.944691
34.425273,130.964963
34.4286,130.976627
34.417209,131.165527
34.398327,131.211909
34.370336,131.2101
34.376936,131.262754
34.388882,131.316654
34.422082,131.4061
34.451664,131.413609
34.603327,131.554691
34.641936,131.591063
34.6536,131.603854
34.655818,131.623018
34.662209,131.680209
34.674164,131.744418
34.681936,131.780545
34.689709,131.816372
34.6961,131.832736
34.702773,131.845382
34.868045,132.051909
34.903045,132.076918
34.9261,132.098845
34.95,132.1308
35.0075,132.215791
35.0211,132.247745
35.031936,132.288882
35.036109,132.299991
35.051654,132.316654
35.1,132.359682
35.150545,132.398318
35.161373,132.404691
35.172082,132.4147
35.247491,132.547209
35.261109,132.579409
35.267491,132.595791
35.271936,132.613282
35.279991,132.629391
35.286382,132.638882
35.298609,132.651918
35.3086,132.658872
35.320273,132.664982
35.346382,132.674682
35.369018,132.681363
35.381664,132.678318
35.388045,132.666927
35.398882,132.641663
35.407773,132.629954
35.421109,132.633654
35.440545,132.681091
35.488882,132.829682
35.494991,132.853027
35.496382,132.866054
35.496654,132.886654
