Taiwan,,,
緯度,經度, , 
23.508754 ,120.125163 ,,
23.514164 ,120.123872 ,,
23.568882 ,120.115536 ,,
23.617082 ,120.111227 ,,
23.631382 ,120.115536 ,,
23.783327 ,120.194836 ,,
23.819445 ,120.221918 ,,
23.830000 ,120.239700 ,,
23.889073 ,120.278700 ,,
23.898327 ,120.283863 ,,
23.953327 ,120.312472 ,,
24.048336 ,120.363036 ,,
24.141109 ,120.421100 ,,
24.150000 ,120.427200 ,,
24.193045 ,120.471909 ,,
24.210273 ,120.476382 ,,
24.289300 ,120.509282 ,,
24.362218 ,120.544982 ,,
24.385273 ,120.558872 ,,
24.402218 ,120.571663 ,,
24.410273 ,120.578600 ,,
24.427991 ,120.594436 ,,
24.463609 ,120.628591 ,,
24.479164 ,120.642763 ,,
24.493882 ,120.650545 ,,
24.511109 ,120.656645 ,,
24.533054 ,120.665818 ,,
24.598609 ,120.696218 ,,
24.647500 ,120.751391 ,,
24.739027 ,120.862482 ,,
24.739991 ,120.871600 ,,
24.836664 ,120.903318 ,,
24.875827 ,120.921100 ,,
24.923327 ,120.951391 ,,
24.933045 ,120.958700 ,,
25.001664 ,121.001663 ,,
25.008891 ,121.009163 ,,
25.048609 ,121.060536 ,,
25.110000 ,121.194700 ,,
25.115554 ,121.223600 ,,
25.118909 ,121.275872 ,,
25.126109 ,121.310527 ,,
25.132500 ,121.338591 ,,
25.143327 ,121.363036 ,,
25.150973 ,121.373718 ,,
25.158264 ,121.389363 ,,
25.155273 ,121.409418 ,,
25.149164 ,121.418054 ,,
25.129100 ,121.441109 ,,
25.134745 ,121.444118 ,,
25.178327 ,121.395818 ,,
25.189018 ,121.396518 ,,
25.236664 ,121.435254 ,,
25.243882 ,121.442745 ,,
25.270418 ,121.478318 ,,
25.282218 ,121.515272 ,,
25.283609 ,121.563182 ,,
25.275827 ,121.583327 ,,
25.267218 ,121.598036 ,,
25.259164 ,121.608872 ,,
25.249436 ,121.616927 ,,
25.214436 ,121.636654 ,,
25.168664 ,121.681272 ,,
25.15693,121.749753,,
25.155672,121.750443,,
25.155349,121.752876,光華塔,
25.155206,121.752128,,
25.154361,121.751959,,
25.154609,121.749933,,
25.150838,121.744527,,
25.15046,121.744823,,
25.150951,121.745794,,
25.150258,121.747079,,
25.152373,121.751522,,
25.150537,121.752619,,
25.148818,121.749197,,
25.150541,121.752634,,
25.146936,121.750313,,
25.148225,121.753036,,
25.145078,121.753594,,
25.139645,121.744645,,
25.144962,121.740376,,
25.144534,121.73896,,
25.138547,121.741834,,
25.138188,121.743798,,
25.133924,121.741727,,
25.133501,121.741707,,
25.131558,121.740419,,
25.130616,121.742297,愛一仁二,
25.136697,121.746309,,
25.143501,121.758442,,
25.142747,121.759066,,
25.143796,121.76074,,
25.144797,121.760364,,
25.14435,121.75824,,
25.144972,121.758047,,
25.145418,121.760187,,
25.146001,121.757746,,
25.145943,121.75706,,
25.14639,121.757746,,
25.147125,121.761174,,
25.149128,121.761829,,
25.1531,121.767714,,
25.152246,121.769859,,
25.153605,121.769044,和平橋,
25.155509,121.773164,,
25.156558,121.772649,,
25.154305,121.768701,,
25.154382,121.762864,,
25.151313,121.762778,,
25.154382,121.759345,,
25.156596,121.760203,,
25.156907,121.759474,,
25.159432,121.760675,,
25.157451,121.758358,,
25.157723,121.757886,,
25.156208,121.756813,,
25.157878,121.757671,,
25.159162,121.757152,,
25.158987,121.756509,,
25.159473,121.75623,,
25.159298,121.7552,,
25.164095,121.753805,白燈塔,
25.157511,121.758353,,
25.159376,121.755177,,
25.161357,121.759597,,
25.160308,121.762301,,
25.163376,121.76243,,
25.159492,121.772257,,
25.158987,121.779639,,
25.156618,121.772858,,
25.15215,121.775047,,
25.148033,121.78878,,
25.148771,121.784273,,
25.147023,121.784231,,
25.149574,121.793672,,
25.142322,121.796161,,
25.1471,121.792771,,
25.146867,121.807276,,
25.135912,121.802813,,
25.114718 ,121.881654 ,,
25.007218 ,122.000409 ,,
24.995273 ,121.994982 ,,
24.986936 ,121.978318 ,,
24.985036 ,121.969509 ,,
24.976382 ,121.947200 ,,
24.960000 ,121.913882 ,,
24.930964 ,121.880527 ,,
24.866936 ,121.828327 ,,
24.850273 ,121.818191 ,,
24.835000 ,121.813872 ,,
24.790000 ,121.805254 ,,
24.756664 ,121.799709 ,,
24.745273 ,121.800809 ,,
24.637218 ,121.817209 ,,
24.624718 ,121.821109 ,,
24.614436 ,121.828327 ,,
24.606382 ,121.843600 ,,
24.592218 ,121.849427 ,,
24.563609 ,121.853318 ,,
24.533609 ,121.853045 ,,
24.476382 ,121.839709 ,,
24.470827 ,121.831100 ,,
24.463882 ,121.816672 ,,
24.455554 ,121.803591 ,,
24.448327 ,121.796100 ,,
24.426382 ,121.780545 ,,
24.414164 ,121.776654 ,,
24.330827 ,121.759636 ,,
24.301664 ,121.772491 ,,
24.292773 ,121.753054 ,,
24.286382 ,121.744982 ,,
24.204991 ,121.676091 ,,
24.184718 ,121.659418 ,,
24.083191 ,121.606227 ,,
24.058327 ,121.602618 ,,
24.041664 ,121.609154 ,,
24.034164 ,121.616091 ,,
23.983327 ,121.611363 ,,
23.900000 ,121.596363 ,,
23.701382 ,121.536927 ,,
23.485273 ,121.496372 ,,
23.422418 ,121.476327 ,,
23.414718 ,121.475809 ,,
23.401109 ,121.473309 ,,
23.327218 ,121.453045 ,,
23.087500 ,121.355554 ,,
22.900000 ,121.259163 ,,
22.762500 ,121.168054 ,,
22.735273 ,121.137500 ,,
22.728054 ,121.128863 ,,
22.724718 ,121.119136 ,,
22.722218 ,121.108318 ,,
22.709164 ,121.079436 ,,
22.656382 ,121.030272 ,,
22.634991 ,121.014427 ,,
22.568327 ,120.969709 ,,
22.535827 ,120.955554 ,,
22.341382 ,120.878591 ,,
22.320136 ,120.872754 ,,
22.291945 ,120.871372 ,,
22.275000 ,120.873027 ,,
22.232564 ,120.879427 ,,
22.098054 ,120.884718 ,,
22.036945 ,120.881363 ,,
21.927773 ,120.824154 ,,
21.927909 ,120.719563 ,,
21.932218 ,120.709018 ,,
21.943327 ,120.699009 ,,
22.053609 ,120.686372 ,,
22.104445 ,120.693036 ,,
22.115273 ,120.691091 ,,
22.171936 ,120.677754 ,,
22.181936 ,120.674991 ,,
22.277500 ,120.629436 ,,
22.295273 ,120.620527 ,,
22.312773 ,120.610263 ,,
22.364164 ,120.574572 ,,
22.382773 ,120.553309 ,,
22.422500 ,120.505545 ,,
22.429164 ,120.488591 ,,
22.431109 ,120.478582 ,,
22.453327 ,120.444700 ,,
22.470827 ,120.426091 ,,
22.482500 ,120.416900 ,,
22.478464 ,120.389436 ,,
22.481936 ,120.379563 ,,
22.505554 ,120.343600 ,,
22.519445 ,120.328600 ,,
22.540436 ,120.307082 ,,
22.550873 ,120.303700 ,,
22.524945 ,120.327854 ,,
22.536109 ,120.329991 ,,
22.554445 ,120.321927 ,,
22.572500 ,120.312763 ,,
22.596936 ,120.296100 ,,
22.612500 ,120.267909 ,,
22.628054 ,120.253327 ,,
22.640273 ,120.244709 ,,
22.649436 ,120.240254 ,,
22.660827 ,120.238591 ,,
22.682354 ,120.251518 ,,
22.736727 ,120.228672 ,,
22.773327 ,120.206382 ,,
22.786945 ,120.199709 ,,
22.881664 ,120.172763 ,,
22.908045 ,120.167482 ,,
22.953609 ,120.163882 ,,
23.022773 ,120.135536 ,,
23.013609 ,120.107754 ,,
23.035000 ,120.064418 ,,
23.044373 ,120.053936 ,,
23.060827 ,120.049145 ,,
23.073882 ,120.055118 ,,
23.079164 ,120.067491 ,,
23.079164 ,120.086927 ,,
23.087909 ,120.097554 ,,
23.126936 ,120.092763 ,,
23.133609 ,120.084854 ,,
23.138045 ,120.064845 ,,
23.144991 ,120.057345 ,,
23.155964 ,120.056509 ,,
23.228054 ,120.083327 ,,
23.266936 ,120.099718 ,,
23.286945 ,120.109709 ,,
23.317500 ,120.130000 ,,
23.322500 ,120.143945 ,,
23.394718 ,120.147763 ,,
23.466109 ,120.134718 ,,
23.493327 ,120.128863 ,,
