China,
Lat,Lon
53.529164,123.374563
53.522491,123.442745
53.539436,123.4872
53.542218,123.535263
53.543609,123.614709
53.480545,123.866382
53.473045,123.889972
53.464718,123.910809
53.431264,123.981463
53.408464,124.005127
53.385827,124.021791
53.340827,124.104427
53.336236,124.133182
53.349718,124.159982
53.360827,124.194427
53.363054,124.229427
53.3468,124.269009
53.32,124.296772
53.287918,124.322209
53.255554,124.338863
53.212209,124.402209
53.188327,124.493309
53.188882,124.515263
53.190409,124.545818
53.191654,124.614436
53.187764,124.643872
53.170545,124.691782
53.126936,124.818327
53.146727,124.879009
53.171936,124.919009
53.182773,124.963609
53.186654,124.988309
53.195545,125.061918
53.197491,125.134163
53.193045,125.164991
53.149718,125.2811
53.118327,125.356091
53.101664,125.398609
53.069164,125.485527
53.056936,125.568327
53.050273,125.620045
52.981518,125.727482
52.945691,125.722272
52.932073,125.6883
52.9236,125.660263
52.897564,125.644991
52.8752,125.657345
52.884718,125.722491
52.889991,125.744427
52.862836,125.855745
52.836109,125.875809
52.763954,125.972891
52.777973,126.010954
52.781591,126.064845
52.757218,126.096791
52.7161,126.0372
52.637491,125.972972
52.610827,125.976645
52.5761,125.994282
52.564309,126.0332
52.580554,126.0604
52.589154,126.086863
52.544027,126.179982
52.527773,126.201782
52.51,126.213191
52.501391,126.209427
52.476445,126.196354
52.460691,126.209018
52.463391,126.2388
52.453464,126.275672
52.395827,126.333882
52.369154,126.347272
52.291664,126.3486
52.234709,126.327763
52.212554,126.307482
52.192218,126.318882
52.183045,126.351927
52.176382,126.391372
52.165691,126.469845
52.159718,126.490536
52.126936,126.554982
52.069445,126.534572
52.037354,126.509427
52.034027,126.476791
52.020691,126.454563
51.994364,126.441227
51.929991,126.4711
51.787218,126.609154
51.710091,126.718382
51.634091,126.726372
51.423118,126.794427
51.405264,126.868872
51.398609,126.8936
51.381382,126.913882
51.350345,126.890382
51.344036,126.855809
51.327354,126.819845
51.304573,126.807336
51.265554,126.817618
51.241245,126.8511
51.241173,126.893527
51.260618,126.900263
51.303154,126.893772
51.314045,126.937391
51.319227,126.968872
51.299718,126.975191
51.242218,126.932063
51.210691,126.9061
51.1811,126.898745
51.125264,126.912491
51.058254,126.9331
50.955354,127.046109
50.929436,127.106091
50.909573,127.133182
50.888464,127.150545
50.824718,127.193036
50.741382,127.291927
50.684709,127.279209
50.648182,127.309772
50.595864,127.358582
50.576109,127.366918
50.551245,127.361782
50.524573,127.333172
50.459227,127.290882
50.314718,127.334018
50.299436,127.351654
50.2868,127.375536
50.278327,127.3961
50.265827,127.434418
50.257218,127.469009
50.2311,127.543318
50.2161,127.575545
50.208564,127.586063
50.197609,127.587309
50.167709,127.585527
50.136936,127.574436
50.108182,127.550327
50.067218,127.503182
50.045418,127.489554
50.018882,127.485945
49.827491,127.506245
49.805882,127.515009
49.785827,127.535672
49.777354,127.5636
49.772491,127.591663
49.765,127.628309
49.746036,127.671782
49.708182,127.678454
49.670409,127.688791
49.6536,127.713045
49.592627,127.818318
49.586654,127.838045
49.536664,128.102754
49.534164,128.186763
49.536945,128.214418
49.548327,128.244982
49.577073,128.397754
49.587491,128.513445
49.592218,128.653045
49.584436,128.711909
49.568191,128.790254
49.546936,128.803318
49.477764,128.875245
49.435964,129.002445
49.415273,129.024109
49.385136,129.039263
49.363964,129.052309
49.352791,129.076872
49.346754,129.111782
49.352391,129.136354
49.375927,129.165509
49.387518,129.184709
49.427864,129.3905
49.431345,129.4212
49.4158,129.4902
49.404582,129.511536
49.391236,129.523463
49.313864,129.530718
49.287764,129.552445
49.2736,129.579936
49.268327,129.605209
49.277364,129.653563
49.2789,129.686036
49.262173,129.725536
49.227654,129.7366
49.202309,129.732091
49.181554,129.746318
49.170164,129.773563
49.071718,129.912709
49.041727,129.907636
48.932209,130.110509
48.878736,130.200672
48.864645,130.224609
48.860273,130.264282
48.884991,130.352172
48.891382,130.380245
48.8961,130.418027
48.892354,130.451491
48.878327,130.472454
48.860973,130.484682
48.851518,130.509018
48.851664,130.538027
48.856382,130.564272
48.874645,130.627682
48.875409,130.642818
48.860409,130.674
48.839709,130.670536
48.810545,130.633845
48.713327,130.577182
48.6261,130.528872
48.605754,130.523591
48.519991,130.609409
48.429436,130.737454
48.3268,130.823991
48.293891,130.8315
48.192491,130.753872
48.138954,130.678372
48.108391,130.659836
48.047636,130.679563
47.988045,130.758027
47.965,130.798036
47.931109,130.853854
47.906236,130.883727
47.865273,130.9133
47.8386,130.929963
47.817491,130.939836
47.797773,130.946072
47.740827,130.935109
47.720273,130.939972
47.706109,130.954682
47.687209,130.992172
47.677491,131.030809
47.672182,131.085936
47.693045,131.1597
47.706382,131.197209
47.718045,131.224682
47.730264,131.268191
47.7386,131.416654
47.737773,131.446363
47.731936,131.486754
47.719227,131.534972
47.697491,131.547054
47.663882,131.618009
47.674709,131.815245
47.669991,131.914982
47.692764,132.121609
47.713464,132.2108
47.728045,132.255245
47.736382,132.2897
47.742491,132.341063
47.742073,132.365236
47.736245,132.389263
47.725264,132.418309
47.716936,132.466372
47.710273,132.521091
47.713882,132.542482
47.733254,132.577882
47.871936,132.662063
47.994436,132.863863
48.098882,133.082736
48.109436,133.194118
48.104164,133.272218
48.085409,133.428727
48.0743,133.449263
48.068882,133.484272
48.0759,133.515182
48.098873,133.5408
48.120827,133.555818
48.1518,133.573718
48.174018,133.596345
48.249718,133.751372
48.264164,133.884709
48.305691,134.010954
48.323054,134.039272
48.329436,134.066372
48.342491,134.206909
48.391118,134.415345
48.378745,134.432109
48.359718,134.463863
