 North Korea, 
緯度,經度
39.404945,127.438754
39.392218,127.4111
39.372218,127.374691
39.235127,127.376427
39.195273,127.399709
39.164509,127.447754
39.140273,127.540818
39.124991,127.645536
39.088327,127.782763
39.049164,127.809709
38.987354,127.855818
38.962773,127.880254
38.858464,128.010818
38.852491,128.038027
38.846382,128.064972
38.834436,128.093845
38.819164,128.122191
38.802773,128.136654
38.735264,128.201354
38.733327,128.226627
38.737909,128.2636
38.727482,128.293309
38.702218,128.337191
38.676864,128.362727
38.625245,128.363554
38.587564,128.3085
38.560409,128.306636
38.524645,128.313382
38.4886,128.307736
38.459436,128.297336
38.430273,128.279691
38.411664,128.260527
38.395273,128.243563
38.381664,128.224972
38.365545,128.200809
38.35,128.176091
38.339573,128.158445
38.3293,128.137072
38.311936,128.079954
38.306654,128.054691
38.305545,128.010527
38.307209,127.9797
38.313609,127.885272
38.319718,127.669009
38.307491,127.537491
38.312491,127.450818
38.323327,127.366382
38.318882,127.251391
38.311936,127.197482
38.298191,127.130818
38.284164,127.100963
38.259991,127.068045
38.249991,127.050118
38.229236,127.0058
38.213745,126.986645
38.1886,126.969836
38.154445,126.955109
38.1286,126.935254
38.016109,126.824436
38.000545,126.807209
37.9736,126.773463
37.955127,126.736645
37.833909,126.688491
37.788609,126.624691
37.772009,126.582354
37.820273,126.479154
37.856873,126.421509
37.885991,126.3998
37.887218,126.3886
37.880545,126.353318
37.845409,126.208182
37.818327,126.143527
37.779718,126.158863
37.757636,126.161091
37.734364,126.149427
37.741245,126.104836
37.794718,126.066382
37.863609,126.042763
37.905682,125.969982
37.890064,125.943309
37.869091,125.972209
37.829227,125.985118
37.8359,125.920118
37.9411,125.824436
37.985336,125.803727
38.002636,125.748454
38.016936,125.672491
38.0261,125.605263
38.017145,125.577145
37.9918,125.592491
37.978745,125.613036
37.966518,125.646236
37.910818,125.724427
37.818882,125.643054
37.782282,125.5654
37.784436,125.5211
37.708745,125.380672
37.671382,125.342754
37.680273,125.3372
37.7161,125.333454
37.792382,125.383872
37.819164,125.443872
37.837491,125.487491
37.885545,125.509709
37.912491,125.4561
37.906654,125.426372
37.8961,125.3875
37.861664,125.352763
37.886382,125.308591
37.927145,125.239982
37.888809,125.219009
37.864154,125.176018
37.868045,125.132472
37.877209,125.086654
37.895482,125.021518
37.933291,124.9829
38.0425,125.117482
38.046391,125.185254
38.043045,125.206091
38.026173,125.219018
38.013954,125.241582
38.063745,125.2738
38.077282,125.256854
38.0911,125.133045
38.086936,125.106645
38.079436,125.083054
38.070136,125.060682
38.062909,125.021791
38.102909,124.864982
38.095273,124.788882
38.096654,124.766936
38.119509,124.670054
38.139645,124.6763
38.139164,124.721645
38.143882,124.744145
38.188882,124.821382
38.229154,124.862491
38.260827,124.8679
38.3325,124.865536
38.463327,124.958327
38.586373,124.993309
38.580691,125.055263
38.644718,125.156645
38.651654,125.309009
38.670273,125.3461
38.6918,125.377063
38.700545,125.4472
38.674227,125.554009
38.648882,125.576391
38.6368,125.592482
38.624154,125.625536
38.622073,125.649154
38.624509,125.652591
38.629436,125.652072
38.654854,125.633045
38.656936,125.629791
38.717764,125.517209
38.721654,125.479154
38.722209,125.432209
38.707218,125.367754
38.697073,125.283245
38.716382,125.244709
38.798118,125.140536
38.869582,125.149436
38.921936,125.199709
38.999164,125.235809
39.052218,125.259163
39.115545,125.284145
39.155264,125.290263
39.203327,125.339709
39.215827,125.359418
39.2375,125.388318
39.279718,125.411654
39.308045,125.421918
39.358891,125.401654
39.393464,125.359982
39.434509,125.338109
39.4593,125.346791
39.525409,125.403318
39.572354,125.450436
39.576727,125.441991
39.552218,125.372754
39.525827,125.311372
39.5193,125.2904
39.558745,125.120254
39.605554,125.037491
39.662491,124.945536
39.721373,124.8461
39.773218,124.745291
39.714154,124.746372
39.677845,124.755682
39.6293,124.740818
39.598009,124.635882
39.649854,124.631091
39.676936,124.650054
39.8,124.561654
39.809718,124.536372
39.821109,124.498872
39.829027,124.439563
39.831664,124.406372
39.865,124.3636
39.915891,124.323954
40.022491,124.3886
40.093618,124.3736
40.102218,124.381363
40.130273,124.410809
40.242218,124.5547
40.283609,124.626927
