South Korea, 
緯度,經度
36.0606,126.869218
36.055545,126.8591
36.005809,126.739472
36.001364,126.688772
36.136409,126.544418
36.219164,126.536636
36.394154,126.495818
36.4811,126.480554
36.579364,126.467209
36.590682,126.514709
36.659709,126.5161
36.723873,126.497209
36.742773,126.472354
36.7393,126.349991
36.688945,126.3063
36.654782,126.329291
36.599436,126.315536
36.581936,126.293054
36.6336,126.299
36.711209,126.266063
36.684573,126.236991
36.670827,126.189418
36.674018,126.169427
36.707218,126.125818
36.751664,126.128863
36.809654,126.164263
36.819882,126.191663
36.880409,126.186363
36.962073,126.294845
36.942218,126.308872
36.878673,126.319636
36.843609,126.297209
36.812491,126.279854
36.793045,126.286991
36.803882,126.324709
36.851936,126.401091
36.905091,126.414754
36.934573,126.4104
36.929991,126.386372
36.951727,126.349709
36.991382,126.345127
37.004718,126.392763
37.002182,126.431018
36.922627,126.475582
36.896464,126.462063
36.863882,126.463318
36.843182,126.474809
36.867491,126.496509
36.941373,126.514163
36.995545,126.490536
37.051245,126.500818
37.051245,126.521518
37.023182,126.569572
36.972764,126.619982
36.971654,126.682209
36.967491,126.772072
36.911518,126.824436
36.886245,126.832354
36.8568,126.830472
36.7609,126.833036
36.816936,126.9061
36.910818,126.9922
36.929718,127.000227
36.917564,126.916445
36.948745,126.868027
37.047909,126.754782
37.121582,126.776172
37.133882,126.819445
37.1409,126.861572
37.1743,126.869418
37.172354,126.765827
37.148882,126.738591
37.128745,126.718036
37.123045,126.691091
37.159018,126.660954
37.251664,126.661927
37.262218,126.699418
37.238464,126.759436
37.265545,126.861845
37.306309,126.8436
37.296518,126.810254
37.304709,126.770536
37.328045,126.722209
37.386791,126.741927
37.385209,126.726991
37.406236,126.664009
37.481518,126.626291
37.487436,126.631963
37.4852,126.668382
37.547773,126.660818
37.566745,126.652127
37.591382,126.629154
37.619991,126.572491
37.645064,126.549282
37.718318,126.532072
37.763054,126.5397
37.760554,126.641372
37.684436,126.680545
37.833909,126.688491
37.955127,126.736645
37.9736,126.773463
38.000545,126.807209
38.016109,126.824436
38.1286,126.935254
38.154445,126.955109
38.1886,126.969836
38.213745,126.986645
38.229236,127.0058
38.249991,127.050118
38.259991,127.068045
38.284164,127.100963
38.298191,127.130818
38.311936,127.197482
38.318882,127.251391
38.323327,127.366382
38.312491,127.450818
38.307491,127.537491
38.319718,127.669009
38.313609,127.885272
38.307209,127.9797
38.305545,128.010527
38.306654,128.054691
38.311936,128.079954
38.3293,128.137072
38.339573,128.158445
38.35,128.176091
38.365545,128.200809
38.381664,128.224972
38.395273,128.243563
38.411664,128.260527
38.430273,128.279691
38.459436,128.297336
38.4886,128.307736
38.524645,128.313382
38.560409,128.306636
38.587564,128.3085
38.625245,128.363554
38.579436,128.389163
38.330554,128.532472
38.144436,128.625791
38.122418,128.636918
37.857773,128.860645
37.849991,128.880509
37.730273,129.004545
37.685818,129.049991
37.663191,129.063018
37.631518,129.063172
37.525554,129.136109
37.464709,129.1897
37.371373,129.258882
37.257218,129.342472
37.230964,129.353572
37.150027,129.362491
37.140973,129.371063
37.059854,129.429445
37.025127,129.414982
36.942218,129.416072
36.899991,129.423582
36.873882,129.429291
36.811654,129.4565
36.780273,129.471772
36.701382,129.472318
36.678327,129.462672
36.662491,129.440518
36.626936,129.419772
36.571727,129.422254
36.540973,129.439
36.503464,129.450527
36.401791,129.437882
36.363464,129.411927
36.333427,129.387891
36.311482,129.381927
36.022827,129.392027
35.998845,129.422291
35.9952,129.460491
36.011873,129.485945
36.051036,129.528136
36.074118,129.561691
36.034864,129.5853
36.003854,129.586872
35.683327,129.486636
35.644609,129.464754
35.594509,129.474063
35.543745,129.4679
35.475818,129.439418
35.343745,129.344836
35.298327,129.279436
35.208882,129.241636
35.1899,129.237491
35.146945,129.174682
35.112209,129.136936
35.084991,128.978572
35.134827,128.973909
35.092073,128.925736
35.084164,128.810518
35.092764,128.734954
35.101109,128.710509
35.148609,128.619963
35.173327,128.611354
35.169991,128.572754
35.039164,128.382063
35.008291,128.3779
35.026027,128.409618
35.050682,128.478363
35.008327,128.501372
34.877209,128.466491
34.841173,128.446136
34.832773,128.405963
34.871373,128.335509
34.903736,128.351345
34.931382,128.351072
34.946518,128.334963
34.928882,128.215654
34.898609,128.206836
34.889436,128.176363
34.894436,128.154145
34.923045,128.0697
34.9395,128.050327
34.986382,128.020536
34.951382,127.901645
34.941654,127.873454
34.946654,127.830836
34.960282,127.7674
34.903045,127.651927
34.902627,127.631654
34.9168,127.613872
34.940127,127.597072
34.914854,127.568882
34.886936,127.576391
34.844991,127.608172
34.814154,127.6386
34.812909,127.661091
34.820691,127.6797
34.837836,127.705818
34.835136,127.773745
34.795,127.769436
34.7254,127.745809
34.615964,127.6379
34.638327,127.576391
34.653736,127.555263
34.701654,127.558454
34.766664,127.567754
34.856945,127.522491
34.851664,127.493872
34.8186,127.418318
34.802218,127.398882
34.751391,127.363872
34.697909,127.393882
34.676936,127.429427
34.639854,127.487345
34.590827,127.512763
34.4711,127.389427
34.4436,127.315263
34.511382,127.243591
34.511936,127.168318
34.519718,127.136027
34.551382,127.126218
34.624154,127.207691
34.571936,127.195809
34.569445,127.2422
34.6543,127.330545
34.6954,127.3522
34.740127,127.335118
34.727482,127.273882
34.7075,127.216663
34.660273,127.112491
34.650545,127.091663
34.619991,127.036927
34.602218,127.009718
34.5334,126.988245
34.504164,126.966382
34.487209,126.938309
34.442073,126.892354
34.412491,126.889427
34.444018,126.814291
34.463054,126.800809
34.491936,126.799991
34.529718,126.804982
34.572564,126.800254
34.585409,126.780745
34.565545,126.760827
34.434436,126.683872
34.299854,126.597209
34.300545,126.556372
34.3161,126.524991
34.345273,126.478318
34.477627,126.462272
34.543882,126.391372
34.566527,126.315545
34.590273,126.288309
34.633882,126.273036
34.677082,126.2661
34.745754,126.292136
34.745273,126.315054
34.705964,126.347209
34.595827,126.417482
34.578045,126.451663
34.619436,126.432482
34.644027,126.459363
34.615136,126.527209
34.619509,126.614282
34.715273,126.503054
34.723327,126.4847
34.750545,126.494136
34.779436,126.608036
34.781382,126.632063
34.810127,126.660263
34.877491,126.590818
34.873045,126.539982
34.810409,126.532345
34.778464,126.510818
34.791382,126.375563
34.894436,126.413309
34.963609,126.433591
34.941173,126.374836
34.921591,126.335854
34.961936,126.304154
35.113473,126.248736
35.130827,126.259572
35.151654,126.344991
35.132145,126.352482
35.104709,126.344218
35.069164,126.359709
35.020482,126.4213
35.068882,126.457209
35.092627,126.457218
35.103054,126.437618
35.115409,126.4161
35.147773,126.3875
35.180273,126.360527
35.227764,126.3636
35.312209,126.378309
35.336936,126.3875
35.410264,126.424427
35.430191,126.441354
35.455127,126.451936
35.506109,126.489218
35.525964,126.525954
35.546945,126.619427
35.533391,126.684418
35.580827,126.672063
35.593882,126.654636
35.587773,126.541372
35.576727,126.510545
35.590127,126.482618
35.6068,126.469709
35.637909,126.477063
35.739582,126.637345
35.768609,126.701236
35.777354,126.745127
35.861664,126.801091
35.893882,126.7854
35.882491,126.729427
35.891036,126.617336
35.922636,126.6147
35.965682,126.632691
35.984718,126.705263
35.995273,126.761936
36.039164,126.861182
36.056245,126.872018
