Malaysia,
緯度,經度
4.590536,114.095082
4.58,114.153318
4.577773,114.164991
4.5725,114.179982
4.566945,114.188309
4.531945,114.235809
4.521664,114.246091
4.4975,114.263891
4.433191,114.309009
4.34,114.329163
4.326945,114.329991
4.256391,114.399991
4.2,114.475536
4.055691,114.608454
4.030836,114.609427
4.021664,114.619491
4.018191,114.638036
4.022218,114.649991
4.029718,114.669982
4.05,114.705409
4.126945,114.793054
4.144582,114.806363
4.355273,114.866927
4.432636,114.859009
4.435627,114.843663
4.446391,114.834718
4.473891,114.829163
4.495836,114.825818
4.580836,114.815536
4.697364,114.788463
4.709164,114.779982
4.720836,114.777772
4.735836,114.779854
4.749582,114.787072
4.803609,114.852618
4.809718,114.866654
4.810273,114.879154
4.811109,114.904427
4.811664,114.917482
4.817218,114.945827
4.821945,114.9622
4.831664,114.979427
4.842918,114.989145
4.895791,115.018436
4.876391,115.0229
4.820209,115.029127
4.753336,115.020827
4.724445,115.020536
4.656664,115.026654
4.645836,115.029427
4.413336,115.090272
4.391391,115.096363
4.380554,115.102345
4.374164,115.1136
4.315554,115.320545
4.311664,115.339854
4.3175,115.352072
4.332636,115.360263
4.349309,115.356654
4.36,115.350809
4.368327,115.344709
4.396391,115.3179
4.410282,115.302754
4.426945,115.286372
4.438891,115.278054
4.451391,115.273182
4.541109,115.264427
4.564445,115.2686
4.573891,115.272772
4.582773,115.278318
4.598609,115.282491
4.611664,115.282491
4.683054,115.261382
4.805,115.223036
4.849164,115.1922
4.903236,115.145782
4.955,115.2079
4.958054,115.220536
4.925827,115.286372
4.9025,115.310672
4.893745,115.327827
4.899445,115.356936
4.903336,115.366654
4.911664,115.378863
4.925273,115.392491
4.988891,115.452209
4.999718,115.461927
5.022773,115.479709
5.041945,115.528872
5.053054,115.5461
5.068609,115.557745
5.078336,115.561918
5.089164,115.5647
5.126109,115.5686
5.179164,115.574154
5.2025,115.559145
5.198891,115.541927
5.200282,115.529709
5.208609,115.510536
5.220836,115.485118
5.309582,115.359709
5.323891,115.359709
5.3825,115.371227
5.400973,115.380254
5.5175,115.528318
5.520273,115.605818
5.519718,115.749709
5.520273,115.7625
5.525,115.792209
5.527773,115.803036
5.533891,115.817491
5.542218,115.829709
5.563891,115.848872
5.576391,115.857209
5.628891,115.886654
5.644864,115.895263
5.68,115.904427
5.716109,115.909145
5.738009,115.915045
5.7475,115.918872
5.758336,115.928463
5.77,115.944136
5.797782,115.991363
5.809445,116.014163
5.826109,116.038463
5.840836,116.051091
5.854718,116.055945
5.900282,116.053309
5.977773,116.090272
6.127773,116.109991
6.363336,116.3286
6.388609,116.358036
6.428891,116.414427
6.482773,116.491091
6.493473,116.500682
6.510554,116.507491
6.532364,116.502772
