Vietnam, 
緯度,經度
17.108036,107.078963
17.106382,107.083327
17.081836,107.116363
17.011945,107.129963
16.896664,107.179154
16.874718,107.191654
16.789164,107.342754
16.689164,107.469709
16.629018,107.540118
16.631664,107.516391
16.652909,107.468254
16.655291,107.449109
16.644482,107.444436
16.638327,107.448445
16.604091,107.505127
16.595,107.5486
16.580554,107.594145
16.514164,107.699572
16.382082,107.817491
16.374718,107.790672
16.312009,107.811509
16.293891,107.836927
16.278054,107.882754
16.2816,107.906582
16.308882,107.932536
16.333882,107.969709
16.324164,108.026654
16.311664,108.048027
16.248882,108.0872
16.199164,108.188582
16.1843,108.164872
16.155554,108.143109
16.127773,108.137909
16.055209,108.221454
15.999445,108.201163
16.032109,108.236754
16.074327,108.233645
16.133882,108.232209
16.154373,108.246572
16.150409,108.330827
16.132082,108.341027
16.1075,108.306018
16.097636,108.263454
16.061218,108.263927
16.034718,108.268018
15.975136,108.2879
15.948327,108.305818
15.806109,108.422763
15.637782,108.525818
15.482218,108.624982
15.411109,108.732754
15.395954,108.7589
15.427218,108.800263
15.421945,108.829163
15.281391,108.882754
15.132773,108.894145
15.000827,108.928591
14.952218,108.948318
14.898054,108.970545
14.865273,108.9861
14.836382,109.001663
14.8193,109.012082
14.723191,109.078736
14.6725,109.091791
14.641391,109.080272
14.548336,109.0786
14.405836,109.123872
14.330273,109.157209
14.290827,109.1872
14.237773,109.204436
14.120273,109.214154
14.022918,109.257482
13.864445,109.304427
13.825554,109.306372
13.751591,109.302618
13.753473,109.268182
13.817291,109.265691
13.885,109.250191
13.816109,109.218045
13.766918,109.242954
13.737218,109.224154
13.716527,109.227618
13.697045,109.234509
13.638336,109.236645
13.555273,109.256654
13.486245,109.243236
13.441945,109.229982
13.408609,109.228863
13.138054,109.301091
13.108473,109.313591
13.020273,109.3736
12.985,109.399009
12.970827,109.413318
12.955,109.432063
12.900554,109.464845
12.860973,109.461863
12.843191,109.432336
12.862218,109.415545
12.821391,109.370527
12.681664,109.228582
12.631527,109.197336
12.5775,109.196091
12.545273,109.206382
12.502218,109.252772
12.460554,109.299145
12.394927,109.346927
12.372636,109.336382
12.345691,109.301718
12.362009,109.272618
12.398609,109.249418
12.430827,109.220818
12.456909,109.176572
12.432082,109.147
12.400827,109.171372
12.323609,109.216091
12.278609,109.211645
12.0993,109.205263
11.8925,109.269991
11.935,109.225809
11.982218,109.225463
12.116945,109.183109
12.045,109.179972
12.016527,109.203245
11.978609,109.209154
11.945554,109.199563
11.924582,109.1879
11.900418,109.161372
11.8941,109.139563
11.860827,109.123863
11.848227,109.123363
11.792773,109.193309
11.756109,109.2211
11.701945,109.209154
11.629718,109.180672
11.567354,109.134282
11.580064,109.072691
11.593536,109.052554
11.578054,109.037491
11.514718,109.021927
11.445,109.017763
11.393336,109.016518
11.362254,109.021682
11.311454,108.962145
11.308327,108.934009
11.318609,108.905254
11.334709,108.868
11.3325,108.854154
11.317218,108.809836
11.2825,108.764691
11.188609,108.664554
11.181664,108.583591
11.149445,108.532472
11.126382,108.508863
11.095691,108.490318
10.949027,108.244972
10.947218,108.220391
10.925827,108.135527
10.915973,108.113163
10.900827,108.091918
10.883891,108.076636
10.844718,108.054963
10.8075,108.0433
10.769718,108.032754
10.736382,108.0172
10.704236,107.999691
10.705691,107.955945
10.714027,107.937745
10.718473,107.909972
10.716527,107.883854
10.694791,107.825382
10.669718,107.798854
10.6568,107.783445
10.639164,107.756091
10.572391,107.586636
10.52,107.538854
10.503054,107.517482
10.474164,107.4597
10.4668,107.440936
10.445827,107.328854
10.405491,107.287754
10.376127,107.266191
10.397309,107.229036
10.4375,107.212191
10.475718,107.172172
10.467545,107.132782
10.495273,107.053572
10.531109,107.034972
10.606673,107.028018
10.630336,107.023282
10.655064,106.998582
10.621336,107.010082
10.59,107.021227
10.537918,107.015391
10.576454,106.994327
10.614827,106.993609
10.565418,106.981636
10.558036,106.981927
10.520554,106.993982
10.498054,106.979691
10.474618,106.967145
10.507527,106.960463
10.53,106.940245
10.574164,106.933918
10.585545,106.941527
10.592427,106.942736
10.631382,106.904136
10.645973,106.878982
10.669718,106.792736
10.680554,106.763027
10.6609,106.741663
10.639845,106.754009
10.635827,106.757472
10.5893,106.770527
10.577336,106.749572
10.550973,106.736482
10.512082,106.735245
10.497709,106.682672
10.4908,106.662309
10.46,106.631345
10.429691,106.591554
10.437218,106.616909
10.470482,106.732463
10.389582,106.791418
10.310273,106.794691
10.279791,106.784236
10.290873,106.687618
10.280136,106.651218
10.288891,106.573863
10.305282,106.535927
10.301164,106.495427
10.308054,106.457745
10.311382,106.424318
10.304445,106.431918
10.2825,106.466372
10.273891,106.486354
10.243609,106.578854
10.235554,106.603572
10.220273,106.653582
10.208745,106.696082
10.157009,106.793163
10.124236,106.802463
10.082364,106.778027
9.969791,106.650463
9.974091,106.603854
10.037082,106.484554
10.055554,106.466372
10.149718,106.396636
10.176664,106.381636
10.208682,106.364618
10.2425,106.331918
10.255,106.296627
10.121936,106.386645
10.0525,106.446909
10.003473,106.496563
9.992082,106.521645
9.974718,106.566936
9.910273,106.672745
9.893891,106.688436
9.872218,106.693427
9.842218,106.674409
9.810864,106.607118
9.917645,106.486854
9.939264,106.439491
9.975554,106.385245
10.065,106.293582
10.111664,106.254963
10.143891,106.2308
10.161945,106.212754
10.207218,106.165527
10.221664,106.147754
10.237982,106.120863
10.234064,106.114809
10.164164,106.164409
10.058054,106.273036
10.039582,106.2908
10.021109,106.304409
10.010491,106.308627
9.997773,106.324418
9.876391,106.453036
9.819445,106.504154
9.741391,106.570672
9.722218,106.577609
9.663473,106.579845
9.636527,106.572609
9.583609,106.543027
9.566664,106.525527
9.550691,106.504136
9.531391,106.418445
9.532364,106.398454
9.623054,106.256363
9.639164,106.234972
9.787082,106.071636
9.828609,106.035518
9.845554,106.023854
9.87,106.008327
9.911109,105.9772
9.929491,105.955109
9.966391,105.910809
10.004864,105.829963
10.004227,105.823718
10.000627,105.820536
9.974718,105.842745
9.935827,105.884409
9.924054,105.898918
9.908609,105.917609
9.86,105.965527
9.808054,106.014972
9.759654,106.057245
9.728054,106.078854
9.558336,106.185791
9.522773,106.206091
9.501527,106.210663
9.368473,106.194545
9.3559,106.172882
9.350554,106.136072
9.304164,105.995527
9.251391,105.864436
9.240964,105.843372
9.234164,105.825
9.158891,105.619136
9.140273,105.561372
9.129445,105.533872
9.116391,105.5168
9.049027,105.449709
8.997773,105.407345
8.942218,105.390827
8.846664,105.354418
8.811109,105.335682
8.775418,105.3054
8.625064,105.1213
8.592773,105.0211
8.559236,104.864636
8.585554,104.766936
8.605,104.742754
8.661945,104.838882
8.693891,104.890827
8.745209,104.922545
8.802218,104.916382
8.794309,104.892491
8.7718,104.842627
8.769027,104.820336
8.792218,104.798936
9.013336,104.808591
9.260273,104.824154
9.319718,104.8286
9.445,104.834991
9.533745,104.834718
9.5618,104.837209
9.6925,104.860527
9.764445,104.880527
9.810691,104.899218
9.927218,105.038854
9.9375,105.072718
9.896945,105.097609
9.874164,105.102745
9.854791,105.112745
9.945273,105.107463
9.989718,105.087482
10.011664,105.0733
10.033891,105.055527
10.104445,104.981772
10.097918,104.928582
10.094654,104.897391
10.135,104.8533
10.170418,104.825109
10.207427,104.801491
10.23,104.7458
10.232354,104.723509
10.203882,104.687182
10.168891,104.610236
10.231245,104.594691
10.270691,104.581927
10.388609,104.498018
10.422736,104.445327
10.422773,104.487745
10.465209,104.548572
10.501809,104.566227
10.532709,104.594827
10.536945,104.669827
10.531182,104.701682
10.528482,104.715472
10.525,104.733036
10.521945,104.770518
10.52,104.801072
10.521391,104.850527
10.530418,104.877882
10.544164,104.894427
10.576945,104.9183
10.593609,104.929691
10.611945,104.939136
10.631245,104.954409
10.653473,104.982609
10.693473,105.059972
10.713191,105.094145
10.746527,105.093718
10.823609,105.061082
10.843891,105.049136
10.8817,105.038918
10.906936,105.049954
10.920273,105.061082
10.9543,105.1008
10.906118,105.191745
10.899445,105.206091
10.889718,105.233854
10.875554,105.300245
10.880691,105.361909
10.900554,105.372191
10.965764,105.430936
10.945764,105.524291
10.947218,105.527763
10.953054,105.554691
10.959709,105.588527
10.97,105.635527
10.996109,105.694409
