Solomon Is, 
緯度,經度
-9.829446,160.820254
-9.8666,160.825236
-9.889164,160.786909
-9.93,160.650272
-9.923336,160.598845
-9.891391,160.489963
-9.826109,160.345245
-9.819582,160.317472
-9.8125,160.235509
-9.817427,160.195036
-9.824718,160.146636
-9.828891,160.071782
-9.824309,160.006382
-9.799164,159.834336
-9.711946,159.732727
-9.5375,159.616909
-9.428891,159.602445
-9.320555,159.601836
-9.294164,159.626345
-9.281391,159.647763
-9.271946,159.665527
-9.257364,159.698018
-9.255,159.723009
-9.282082,159.7758
-9.307782,159.808872
-9.341109,159.846772
-9.368609,159.873854
-9.388891,159.884154
-9.415836,159.906491
-9.431527,159.933445
-9.4375,159.998563
-9.431391,160.131
-9.416455,160.158036
-9.415282,160.3569
-9.426664,160.386382
-9.549718,160.583036
-9.601527,160.642491
-9.629446,160.6572
-9.699446,160.717054
-9.731946,160.780118
