Philippines,
Lat,Lon
15.801127,119.892582
15.840691,119.913036
15.856109,119.909145
15.962918,119.857472
15.95,119.814
15.925764,119.807754
15.918891,119.7729
15.960418,119.752772
16.174164,119.757763
16.318464,119.785663
16.3325,119.791363
16.346936,119.801363
16.365,119.824154
16.396664,119.886109
16.383609,119.929282
16.362218,119.933591
16.330827,119.931372
16.290273,119.919145
16.242773,119.935254
16.183882,120.013609
16.113609,120.094436
16.101391,120.095836
16.073473,120.1022
16.054445,120.126918
16.036109,120.156645
16.033054,120.178591
16.030554,120.198318
16.030554,120.202763
16.033882,120.234991
16.038609,120.258609
16.046109,120.2811
16.075554,120.338045
16.093609,120.368591
16.120554,120.395827
16.129718,120.403591
16.155827,120.421918
16.169118,120.426091
16.2075,120.418872
16.242773,120.406372
16.264027,120.391109
16.284718,120.3672
16.43,120.339709
16.576664,120.318882
16.631109,120.317209
16.851391,120.371091
16.861936,120.3904
16.873882,120.399718
16.968609,120.449145
16.981664,120.453872
16.995,120.455554
17.011391,120.456645
17.036382,120.455263
17.054718,120.452472
17.177773,120.431372
17.188045,120.426936
17.360554,120.456236
17.389718,120.460536
17.411664,120.459991
17.509718,120.426936
17.540973,120.392209
17.533227,120.380109
17.530973,120.367618
17.555827,120.346645
17.571664,120.338591
17.639436,120.357482
17.680273,120.372482
17.692218,120.394991
17.708045,120.422209
17.732491,120.439972
17.823473,120.458327
17.929164,120.450272
18.078609,120.479982
18.188882,120.521382
18.201936,120.526382
18.213327,120.534418
18.253609,120.5611
18.315,120.595263
18.330827,120.600809
18.370273,120.604427
18.393054,120.601645
18.424436,120.593872
18.454991,120.581936
18.468054,120.572772
18.481109,120.5693
18.493191,120.571654
18.511391,120.585272
18.5475,120.632409
18.538891,120.664427
18.533054,120.679427
18.528609,120.703045
18.526664,120.718318
18.527009,120.736736
18.532218,120.751936
18.540273,120.768054
18.558327,120.787763
18.610827,120.874972
18.575973,120.9011
18.565273,120.916927
18.559445,120.934554
18.562909,120.956372
18.576945,120.972763
18.589945,120.983491
18.595273,120.991363
18.608609,121.029163
18.624436,121.103318
18.627636,121.124972
18.625273,121.153591
18.617218,121.175263
18.601391,121.204163
18.584445,121.231372
18.566109,121.256654
18.492218,121.376645
18.383054,121.586382
18.361664,121.637209
18.303327,121.802463
18.288327,121.845836
18.277773,121.8961
18.269445,121.936654
18.268891,121.949709
18.272773,121.966091
18.286109,122.007763
18.296391,122.024991
18.376945,122.119982
18.430273,122.133191
18.443882,122.135818
18.508891,122.156645
18.518745,122.167072
18.520554,122.225536
18.515,122.238872
18.380409,122.324718
18.361109,122.330554
18.310554,122.342482
18.276109,122.336927
18.248473,122.321645
18.211664,122.294982
18.174436,122.263891
18.168609,122.254991
18.156664,122.227763
18.150827,122.219436
18.120273,122.189145
18.075136,122.173182
18.039436,122.182209
18.025554,122.1933
18.003891,122.196091
17.934164,122.184418
17.886382,122.172491
17.831664,122.154982
17.801664,122.146518
17.783054,122.145827
17.607218,122.170254
17.593891,122.173309
17.469164,122.215
17.395964,122.240945
17.363473,122.257209
17.340827,122.297763
17.333745,122.318736
17.341664,122.345545
17.268609,122.427463
17.155964,122.419563
17.134718,122.430118
17.121527,122.453882
17.117773,122.485682
17.123191,122.495954
17.130964,122.503036
17.134509,122.521163
17.101382,122.533045
17.043891,122.518336
16.880554,122.468318
16.785273,122.425263
16.563609,122.309709
16.540273,122.294845
16.5275,122.279436
16.510809,122.252909
16.432773,122.207209
16.420554,122.208327
16.410827,122.211645
16.397636,122.220118
16.397082,122.230536
16.3575,122.228863
16.266664,122.212491
16.234164,122.206382
16.226382,122.198863
16.179,122.153654
16.171664,122.141154
16.156827,122.124972
16.137664,122.104809
16.124,122.091654
16.111164,122.095318
16.062773,122.051936
16.0525,122.041363
16.028891,122.002145
16.046664,121.9986
16.055827,122.003054
16.085827,122.019145
16.095273,122.026091
16.106109,122.035263
16.142436,122.064982
16.154609,122.081163
16.169609,122.092482
16.205436,122.113818
16.252291,122.139845
16.260064,122.099291
16.234436,122.075545
16.223882,122.071663
16.209718,122.069991
16.174436,122.020827
16.145273,121.976927
16.134164,121.958454
16.065,121.783336
16.075691,121.761936
16.068054,121.743318
16.006391,121.669563
15.918054,121.578045
15.903054,121.563309
15.891664,121.556091
15.880827,121.552754
15.862218,121.549991
15.837773,121.548318
15.813609,121.551372
15.780836,121.561372
15.7675,121.568327
15.755554,121.575818
15.751109,121.5868
15.757782,121.606791
15.748473,121.637418
15.731664,121.6436
15.713054,121.643054
15.635554,121.599718
15.518327,121.495245
15.379854,121.405963
15.374718,121.395409
15.348882,121.384427
15.332218,121.378863
15.315,121.376372
15.3025,121.380254
15.257773,121.400272
15.228054,121.417763
15.207636,121.431091
15.197918,121.455536
15.176245,121.486091
15.021664,121.542482
14.919445,121.575545
14.883336,121.584991
14.870554,121.588882
14.819164,121.605263
14.790836,121.626918
14.776664,121.639718
14.696664,121.695263
14.668327,121.615536
14.658473,121.608318
14.620273,121.609991
14.6025,121.611645
14.4825,121.642209
14.382218,121.676936
14.341109,121.718045
14.327636,121.727482
14.239164,121.761382
14.226945,121.761654
14.201945,121.752772
14.191527,121.743309
