Canada,
Lat,Lon
65.479154,-87.035282
65.486782,-87.063682
65.476791,-87.091391
65.4586,-87.110273
65.436227,-87.113682
65.390273,-87.111664
65.3254,-87.359227
65.321382,-87.395846
65.320827,-87.430827
65.323882,-87.833327
65.325273,-87.869155
65.326663,-87.893064
65.330827,-87.941936
65.333054,-87.966664
65.339154,-88.004455
65.345263,-88.030291
65.356091,-88.070282
65.363309,-88.094455
65.404991,-88.217091
65.427618,-88.2443
65.479154,-88.313609
65.492482,-88.333618
65.584845,-88.554173
65.590263,-88.579309
65.592345,-88.642773
65.601927,-88.685818
65.642763,-88.829309
65.642763,-88.756673
65.637209,-88.6225
65.626918,-88.498891
65.644436,-88.513336
65.676091,-88.779727
65.687618,-88.956255
65.698591,-89.000836
65.725263,-89.099446
65.736509,-89.130827
65.756173,-89.147364
65.774427,-89.165409
65.846373,-89.379991
65.886936,-89.525282
65.910809,-89.597227
65.9372,-89.668191
65.9422,-89.709446
65.948591,-89.967227
65.945918,-89.995555
65.936918,-89.964173
65.935118,-89.932782
65.928591,-89.899173
65.9211,-89.871109
65.910263,-89.834164
65.898327,-89.799436
65.871227,-89.736255
65.832554,-89.734864
65.822491,-89.769164
65.822491,-89.793336
65.8279,-89.828473
65.855127,-89.896391
65.888318,-90.048618
65.889718,-90.079591
65.883882,-90.12
65.872209,-90.162782
65.864427,-90.207227
65.861373,-90.241946
65.860536,-90.265836
65.8622,-90.315
65.871091,-90.404446
65.880818,-90.425964
65.8961,-90.393064
65.898036,-90.357773
65.897218,-90.333327
65.897491,-90.272782
65.909391,-90.220518
65.922482,-90.2589
65.918591,-90.293336
65.907763,-90.360273
65.901091,-90.418882
65.896654,-90.574173
65.896654,-90.596118
65.902482,-90.708618
65.904163,-90.733891
65.915263,-90.850282
65.940263,-91.068346
65.9697,-91.325418
65.9511,-91.429173
65.930818,-91.444446
65.891518,-91.358055
65.884845,-91.334727
65.853045,-91.189436
65.811363,-91.053746
65.811018,-91.011809
65.846645,-91.054718
65.9052,-91.119646
65.920536,-91.093891
65.9211,-91.063891
65.919018,-90.983609
65.910809,-90.948609
65.904427,-90.914864
65.887773,-90.741946
65.886109,-90.692491
65.880536,-90.531682
65.812482,-90.078064
65.800263,-90.0139
65.796054,-89.993473
65.788882,-89.960009
65.781373,-89.932218
65.7247,-89.745
65.713045,-89.720273
65.681091,-89.656809
65.529436,-89.428327
65.469436,-89.308882
65.400545,-89.146118
65.330691,-89.0575
65.307754,-88.771118
65.306091,-88.733891
65.306509,-88.704446
65.310527,-88.676936
65.306927,-88.606946
65.293318,-88.490282
65.277209,-88.389173
65.274991,-88.364718
65.277209,-88.215009
65.278318,-88.133327
65.276518,-88.1032
65.258882,-88.061664
65.276509,-88.016118
65.2836,-87.978055
65.2861,-87.9436
65.290263,-87.731382
65.291363,-87.673046
65.290545,-87.602218
65.270827,-87.357773
65.254163,-87.210555
65.236645,-87.075009
65.161373,-86.951382
65.142909,-86.935127
65.055536,-86.970691
65.040818,-86.997773
65.0311,-87.040555
64.999145,-87.11
64.711927,-87.430282
64.621091,-87.521664
64.565409,-87.5832
64.527209,-87.698046
64.520909,-87.764418
64.518109,-87.7943
64.434427,-87.855555
64.3747,-87.865009
64.188445,-87.987355
64.134854,-88.118327
64.106373,-88.285555
64.023036,-88.552773
63.978882,-88.679436
63.968318,-88.736664
63.969436,-88.759446
63.9986,-88.993882
64.026091,-89.077791
64.042345,-89.118609
64.059418,-89.150836
64.081373,-89.182773
64.099427,-89.201727
64.126718,-89.213682
64.157482,-89.250346
64.1393,-89.285282
64.036654,-89.1825
63.973873,-89.096664
63.960545,-89.053809
63.946591,-89.035555
63.961382,-89.250691
63.996654,-89.3214
64.038591,-89.396118
64.070545,-89.507236
64.074436,-89.555409
64.014291,-89.5643
63.998191,-89.551246
63.983318,-89.524309
63.953118,-89.487209
63.942218,-89.485546
63.943045,-89.497218
63.958045,-89.524309
64.008191,-89.586727
64.051645,-89.640973
64.076727,-89.7077
64.047482,-89.726946
64.076936,-89.785555
64.105809,-89.820973
64.130673,-89.805973
64.134427,-89.780564
64.138673,-89.744582
64.229636,-89.759936
64.243318,-89.789164
64.222491,-89.803264
64.146236,-89.820009
64.142763,-89.845555
64.144009,-89.885836
64.159991,-89.916118
64.160545,-89.977218
64.125945,-90.117846
64.109709,-90.058609
64.086927,-89.950564
64.057482,-89.946109
64.015827,-89.904173
63.989718,-89.866946
63.977627,-89.829373
63.942073,-89.813609
63.924163,-89.826046
63.9111,-89.945146
63.924782,-89.993118
63.934436,-89.969718
63.948945,-89.949291
63.971863,-89.954927
63.984045,-90
64.009018,-90.188327
64.007491,-90.249436
64.001591,-90.272091
63.994436,-90.227491
63.986663,-90.205836
63.930827,-90.113891
63.814227,-89.967436
