Mexico,
Lat,Lon
24.429445,-111.560009
24.435691,-111.576118
24.459718,-111.602782
24.480827,-111.616673
24.521591,-111.641682
24.549164,-111.653636
24.563891,-111.686955
24.5625,-111.793618
24.6425,-111.826946
24.668609,-111.843064
24.695691,-111.863682
24.756664,-111.923891
24.791945,-111.969318
24.753536,-111.978127
24.756109,-112.087509
24.866664,-112.115836
24.938609,-112.095291
25.023954,-112.107227
24.973327,-112.134455
24.931109,-112.142791
24.899582,-112.150982
24.895864,-112.175
24.957218,-112.169727
25.172918,-112.1264
25.213473,-112.105564
25.231909,-112.078718
25.278745,-112.067373
25.368609,-112.060836
25.601036,-112.083336
25.559164,-112.086955
25.520764,-112.102782
25.552273,-112.111955
25.668327,-112.108336
25.691391,-112.102509
25.728054,-112.100146
25.765973,-112.109864
25.958327,-112.193073
25.980827,-112.205564
26.006109,-112.222782
26.041245,-112.248055
26.080554,-112.325291
26.163054,-112.346118
26.218327,-112.358609
26.237218,-112.367782
26.255,-112.378346
26.276109,-112.400691
26.289509,-112.426318
26.284654,-112.450627
26.264927,-112.470782
26.330554,-112.6732
26.417773,-112.7825
26.481391,-112.853618
26.521945,-112.892718
26.547218,-112.947646
26.551109,-112.977573
26.631109,-113.08
26.654718,-113.104446
26.672218,-113.116673
26.693336,-113.186955
26.703336,-113.215009
26.729354,-113.222646
26.774918,-113.213682
26.800827,-113.200846
26.819445,-113.183064
26.874164,-113.132509
26.902427,-113.124091
26.96,-113.130982
26.971109,-113.167573
26.939582,-113.186118
26.9025,-113.183064
26.880827,-113.183627
26.826382,-113.206391
26.781354,-113.275255
26.831736,-113.402927
26.844164,-113.431391
26.843191,-113.451809
26.830973,-113.476118
26.754091,-113.536391
26.739582,-113.598827
26.825136,-113.724309
26.857082,-113.741391
26.893609,-113.755355
26.914164,-113.772509
26.957918,-113.815418
26.978609,-113.842227
26.995136,-113.8839
27.000136,-113.904873
26.998473,-113.954446
26.981945,-113.976191
26.981664,-113.998755
27.026109,-114.049027
27.055,-114.062091
27.083191,-114.076118
27.099864,-114.091946
27.123054,-114.127791
27.145,-114.165146
27.155827,-114.191964
27.163609,-114.2225
27.165,-114.247091
27.148091,-114.281627
27.1625,-114.330291
27.238054,-114.475491
27.271664,-114.478346
27.322218,-114.479736
27.3618,-114.486046
27.415136,-114.515909
27.487918,-114.609864
27.510273,-114.668618
27.594718,-114.7764
27.694718,-114.889182
27.688054,-114.928073
27.721109,-114.988891
27.768609,-115.023064
27.817773,-115.0439
27.846664,-115.020573
27.836109,-114.925
27.821391,-114.833891
27.812773,-114.790009
27.783191,-114.681946
27.767218,-114.613618
27.769027,-114.508346
27.775,-114.484455
27.787773,-114.460282
27.805,-114.4339
27.786245,-114.334309
27.760273,-114.3175
27.737154,-114.2873
27.695,-114.175418
27.6868,-114.005982
27.700836,-113.985009
27.723327,-113.973064
27.739718,-113.984736
27.768745,-114.030273
27.752636,-114.074309
27.730409,-114.115009
27.716109,-114.158055
27.759854,-114.217227
27.806164,-114.220409
27.839373,-114.249727
27.865927,-114.307636
27.934718,-114.2914
27.951391,-114.278618
28.000273,-114.207673
28.016873,-114.184518
28.043782,-114.152018
28.019582,-114.150973
28.000554,-114.161582
28.000554,-114.159346
28.012236,-114.153636
28.023654,-114.128555
28.059718,-114.135009
28.107218,-114.119455
28.144164,-114.113346
28.181109,-114.112646
28.217782,-114.128346
28.310554,-114.145846
28.375273,-114.11
28.398891,-114.0975
28.429164,-114.084455
28.473327,-114.067364
28.517573,-114.061318
28.553054,-114.080564
28.671873,-114.167718
28.685136,-114.214036
28.713609,-114.261673
28.749164,-114.315
28.823609,-114.361391
28.889164,-114.4123
28.885,-114.426964
28.913327,-114.440846
28.939164,-114.504246
28.975273,-114.557509
29.13,-114.7014
29.373891,-114.945982
29.391109,-114.977773
29.419164,-115.097782
29.437636,-115.189873
29.459445,-115.204182
29.475273,-115.216946
29.489164,-115.232509
29.518054,-115.2782
29.543745,-115.339582
29.625273,-115.505836
29.774236,-115.696673
29.938891,-115.735573
30.1075,-115.783073
30.225827,-115.793327
30.248609,-115.7975
30.276391,-115.804736
30.297773,-115.811682
30.324718,-115.823064
30.350136,-115.836536
30.369718,-115.849036
30.456945,-115.9314
30.494445,-115.979718
30.435136,-116.011318
30.410554,-115.999182
30.3851,-116.0042
30.450554,-116.039027
30.473745,-116.042227
30.5325,-116.033891
30.570554,-116.030291
30.596945,-116.030009
30.724445,-116.038064
30.796527,-116.055491
30.960418,-116.262227
31.121391,-116.303073
31.150273,-116.308627
31.171664,-116.315291
31.207082,-116.333055
31.234445,-116.352227
31.390273,-116.479736
31.471109,-116.5941
31.560764,-116.675627
31.604445,-116.649173
31.775554,-116.605009
31.819654,-116.598546
31.844509,-116.608127
31.860273,-116.627791
31.868891,-116.663409
31.908336,-116.729736
31.990827,-116.8432
32.021382,-116.864173
32.042082,-116.870982
32.086518,-116.874173
32.109445,-116.8739
32.134436,-116.876955
32.193745,-116.894727
32.221245,-116.906255
32.244509,-116.926609
32.255136,-116.954173
32.268327,-116.991118
32.279445,-117.010273
32.3,-117.026673
32.361664,-117.065846
32.4643,-117.124164
32.491391,-117.126955
32.535327,-117.122373
32.536664,-117.095291
32.552218,-116.914173
32.5686,-116.713055
32.585,-116.508146
32.605773,-116.242636
32.631945,-115.907782
32.654718,-115.605564
32.669718,-115.404164
32.684436,-115.2025
32.696991,-115.025891
32.707854,-114.871346
32.717709,-114.7298
32.718454,-114.719091
32.711109,-114.721391
32.685273,-114.731391
32.557782,-114.791673
32.506991,-114.809827
32.5005,-114.795227
32.437091,-114.585536
32.364945,-114.3439
32.279727,-114.061318
32.2183,-113.858282
32.167573,-113.692009
32.061082,-113.344509
31.971073,-113.052891
31.913409,-112.867282
31.798373,-112.5
31.735545,-112.299436
31.623609,-111.946382
31.454164,-111.417509
31.333054,-111.045836
31.332773,-110.311955
31.332773,-110.245564
31.332773,-109.879182
31.333327,-109.512218
31.332873,-109.058927
31.3326,-109.047364
31.3326,-108.832764
31.332627,-108.831936
31.333173,-108.816655
31.332773,-108.778636
31.333054,-108.208346
31.366391,-108.207782
31.433327,-108.208618
31.532773,-108.207782
