USA,
Lat,Lon
39.229991,-76.395009
39.226382,-76.386946
39.224709,-76.388609
39.209718,-76.4164
39.212209,-76.438564
39.223082,-76.473309
39.236518,-76.489436
39.247773,-76.5114
39.261109,-76.549436
39.267209,-76.576673
39.250373,-76.610518
39.242073,-76.582782
39.204827,-76.519446
39.177154,-76.478282
39.145409,-76.440973
39.108327,-76.421527
39.011036,-76.393891
38.913254,-76.453955
38.854709,-76.523618
38.731654,-76.537509
38.557627,-76.511391
38.531109,-76.505009
38.505554,-76.491946
38.490273,-76.478336
38.457218,-76.441936
38.419854,-76.401391
38.3652,-76.378573
38.337209,-76.406246
38.339536,-76.445764
38.431936,-76.579182
38.490964,-76.636946
38.585136,-76.6657
38.608191,-76.667355
38.6368,-76.666118
38.662527,-76.679164
38.474709,-76.663464
38.453327,-76.649446
38.404991,-76.594455
38.315545,-76.481946
38.3,-76.448755
38.288327,-76.371109
38.248118,-76.391109
38.219845,-76.380409
38.193882,-76.347782
38.178045,-76.333618
38.148318,-76.3175
38.0473,-76.312346
38.058882,-76.338609
38.186382,-76.548618
38.203327,-76.560273
38.221236,-76.581955
38.233045,-76.606246
38.239436,-76.629991
38.241936,-76.653882
38.242491,-76.674436
38.240827,-76.702082
38.233609,-76.7393
38.274573,-76.870691
38.309154,-76.915836
38.358464,-76.970136
38.438318,-77.044446
38.416518,-77.075291
38.367945,-77.196773
38.398254,-77.243746
38.487773,-77.2632
38.524164,-77.248046
38.550691,-77.234582
38.605827,-77.180555
38.685545,-77.0875
38.694991,-77.064446
38.698945,-77.029373
38.755,-77.006118
38.796109,-77.019455
38.803091,-77.022782
38.808882,-77.021664
38.8643,-77.016809
38.9011,-77.0534
38.904573,-77.061691
38.878873,-77.050282
38.843318,-77.037218
38.726618,-77.042218
38.704709,-77.095836
38.6986,-77.134446
38.5986,-77.248891
38.495545,-77.304446
38.402491,-77.3264
38.345273,-77.320009
38.332836,-77.246336
38.3336,-77.224164
38.343182,-77.166318
38.379018,-77.068746
38.309436,-77.023327
38.203045,-76.9325
38.178327,-76.876936
38.168882,-76.845555
38.151382,-76.689436
38.122773,-76.590973
38.023609,-76.501109
37.974573,-76.405009
37.956654,-76.349446
37.930827,-76.281536
37.9061,-76.243618
37.881664,-76.2282
37.696936,-76.285555
37.626654,-76.337509
37.6186,-76.353609
37.633609,-76.369709
37.678327,-76.478882
37.833054,-76.7025
37.953045,-76.834446
38.025191,-76.885991
38.067636,-76.910973
38.089709,-76.931946
38.160682,-77.054509
38.169118,-77.129891
38.141936,-77.110691
38.096382,-77.020836
38.093327,-76.985973
38.076945,-76.947918
38.0536,-76.923336
38.006164,-76.902918
37.927773,-76.848473
37.794991,-76.720273
37.763609,-76.663746
37.761109,-76.636109
37.752773,-76.615009
37.727482,-76.589718
37.692764,-76.576673
37.660409,-76.564164
37.630273,-76.538891
37.620264,-76.518618
37.603327,-76.421391
37.568609,-76.2907
37.495273,-76.245273
37.428673,-76.236664
37.373464,-76.239436
37.334164,-76.261127
37.335545,-76.289446
37.383882,-76.365282
37.345818,-76.403473
37.280509,-76.376491
37.262773,-76.448336
37.261936,-76.454727
37.268809,-76.479518
37.323609,-76.578891
37.429718,-76.682773
37.386654,-76.670546
37.305827,-76.606109
37.291936,-76.585555
37.268882,-76.543064
37.229709,-76.465564
37.223045,-76.442636
37.214154,-76.377209
37.135545,-76.29
37.086309,-76.267718
37.005345,-76.291455
36.973318,-76.389727
36.997218,-76.436391
37.084436,-76.5575
37.133945,-76.613118
37.1561,-76.613882
37.1836,-76.613609
